length_to,gas_used,gas_efficiency,value,chain_id,total_gas_cost,event_activity_flag,effective_gas_price,cumulative_gas_used,is_same_address,gas_price_ratio,length_log,Error!,erc_20_Name_Uppercase_Ratio,erc_20_Symbol_Is_Uppercase,erc_20_Name_Contains_Token,erc_20_Symbol_Contains_XYZ,erc_20_Symbol_Starts_With_X,erc_20_Name_Starts_With_The,erc_20_Name_Num_Words,erc_20_Name_Is_Alnum,erc_20_Symbol_Is_Alnum,erc_20_Name_Has_Digit,erc_20_Symbol_Same_As_Name,erc_20_Symbol_End_Is_Digit,erc_20_Symbol_All_Same_Char,erc_20_TokenQuantity,erc_20_Log_Quantity,erc_20_Log_Normalized_Quantity,erc_20_Is_Zero_Divisor,erc_20_Decimals_Above_10,erc_20_Quantity_Is_Int,erc_20_Unique_Chars_Name,erc_20_Unique_Chars_Symbol,erc_20_Name_Lowercase_Count,erc_20_Symbol_Lowercase_Count,erc_20_Name_Num_Uppercase,erc_20_Symbol_Num_Uppercase,erc_20_Symbol_Entropy,erc_721_Name_Uppercase_Ratio,erc_721_Symbol_Is_Uppercase,erc_721_Name_Contains_Token,erc_721_Symbol_Contains_XYZ,erc_721_Symbol_Has_Special,erc_721_Name_Is_Alnum,erc_721_Name_Has_Digit,erc_721_Symbol_Has_Digit,erc_721_TokenQuantity,erc_721_Log_Quantity,erc_721_Is_Zero_Divisor,erc_721_Name_Num_Uppercase,erc_721_Name_Entropy,erc_721_Symbol_Entropy,gas_used_era_rel,gas_efficiency_era_rel,cumulative_gas_used_era_rel,effective_gas_price_era_rel,total_gas_cost_era_rel,value_era_rel,erc_20_Symbol_End_Is_Digit_era_rel,erc_20_Name_Has_Digit_era_rel,flag
0.0,0.1545432205975678,0.4717347891980984,-0.0230854059311927,1,0.8045718971830472,1,2.203365033474721,0.2948239780890037,0,0.0,0.0,0,0.3636363636363636,1,0,0,0,0,2,1,1,0,0,0,0,0.0331289287799646,0.0331289275126092,-0.4721106520620124,0,1,1,11,3,6,0,4,3,1.584962500721156,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0837831736565778,0.5455863632767378,0.2092028075367099,1.2245223628966024,0.1046698085283509,-0.0229085525219698,0.0,-0.0008019246190858,0
0.0,0.0,-0.7728008356437308,0.0248421063955332,0,-0.223196364197302,0,0.1014685170605927,-1.0927300785660383,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.620125480644587,-0.6201254569552005,2.995631511970516,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,-0.3911075545916173,-0.4617730151244984,0.251164484331904,0.245810550776087,-0.0927203986902718,0.0,0.0,0
0.0,2.059485596146507,-0.0724509139176372,-0.9617848700191454,0,0.9801853027739554,1,-0.1203313508200606,0.1964949553529721,0,0.0,2.079441541679836,0,0.4444444444444444,1,0,0,0,0,1,1,1,0,0,0,0,-1.2370423790089644,-1.240250913910401,-2.80047187547662,0,0,1,9,3,5,0,4,3,1.584962500721156,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.1672660374377172,0.1001350391731993,0.0391250651131668,0.0,0.1038343118483702,0.0,0.0,-0.0182952182952182,0
0.0,0.0,0.551811558426674,-0.0303321143851302,1,-0.2321534545436728,0,0.081224248635084,0.3382484310705253,0,0.0,0.0,0,0.3636363636363636,1,0,0,0,0,2,1,1,0,0,0,0,0.0957552418499587,0.0957552381868186,-0.1794371556179497,0,1,1,11,3,6,0,4,3,1.584962500721156,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0413316981075779,-0.0061173690684518,-0.1038515948654842,-0.1318824170098584,-0.2254402435450043,0.0,-0.0182370820668693,0
0.0,0.0,-0.6037850407956965,0.0377121607351069,1,-0.3213443693797373,0,-0.1203313508200606,-0.8811552555805972,0,0.0,0.0,0,0.1111111111111111,1,0,0,0,0,1,1,1,0,0,0,0,0.3125912059330858,0.3125911939748334,0.8339090985691643,0,1,1,7,2,8,0,1,2,1.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,-0.3249710563245706,-0.5073106485956507,0.0,0.0,0.0555348504383595,0.0,-0.1128184391427416,0
0.0,0.0,0.0886760758081161,-0.0298928142764046,1,-0.0778151667457667,0,0.4300083623911105,-0.1309177488154531,0,0.0,0.0,0,0.3636363636363636,1,0,0,0,0,2,1,1,0,0,0,0,-0.0178552806616967,-0.0178552799786385,-0.7103767435697492,0,1,1,11,3,6,0,4,3,1.584962500721156,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-2.124649244956802,1.404611094956815,0.8623603526449664,0.5065151214300347,-1.153964831283686,2.0216848185568885,0.0,0.0,0
0.0,0.0,0.6215345111021878,0.062645073163927,0,-0.3213443693797373,0,-0.1203313508200606,0.4081981382920496,0,0.0,0.0,0,0.0769230769230769,1,0,1,1,0,2,0,1,0,0,0,0,0.0564821368792506,0.056482134718513,-0.3629733784057308,0,1,1,12,4,9,0,1,5,1.9219280948873625,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.8190671938590368,1.2844532399598445,0.0,-0.0528055695156791,0.0957849819917046,0.0,0.0,0
0.0,0.8101577236749791,-1.0617352453531863,-0.0283469600429542,1,1.947125671247148,0,3.849030945160562,-1.3534436354279415,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3177666464412845,-1.317766596029801,-0.2646766434684978,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-0.1281772323868157,-1.4421319899496234,-2.170951802657821,1.8332541928494697,1.926965173999304,0.0828475168807618,0.0,0.0,0
0.0,0.0,0.3641808836878942,0.0793572645584232,1,-0.2500137204409441,0,0.0408672975517625,0.1493269559068291,0,0.0,0.0,0,1.0,1,0,1,1,0,1,1,1,0,0,0,0,0.2847524820765076,0.2847524711832324,0.7038095246322592,0,1,1,4,2,0,0,5,3,0.9182958340544894,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.595372712221746,0.59119246499077,0.3055529557982357,-0.0209137395819133,0.1586525397694493,0.0,-0.0109145652992096,0
0.0,1.8090623566467496,0.1985600646425242,-0.9617848700191454,1,0.8751794987239098,1,0.0,0.4152806701199667,0,0.0,0.0,0,0.3636363636363636,1,0,0,0,0,2,1,1,0,0,0,0,-0.0022030872155024,-0.0022030871312229,-0.6372288611804955,0,1,1,11,3,6,0,4,3,1.584962500721156,0.1428571428571428,1,0,0,0,1,0,0,3.688879454113936,1.591064607026499,1,3,3.553763114472244,1.584962500721156,1.199584393099468,0.0160273500997969,0.2992179391100136,0.0,1.113677797032506,-2.145857072891048,0.0,0.0,0
